knee_angle,trunk_lean,knee_forward,hip_balance,label
0.9605252976418599,0.030817569706205427,0.08461793263753256,0.009188055992126465,1.0
0.9465927438913307,0.007427018353878005,0.08542140324910483,0.013396143913269043,1.0
0.9114276305971937,0.00030371491790503476,0.10949840148289999,0.007674098014831543,1.0
0.9316240819931783,0.001155916348734851,0.09937763214111328,0.0076770782470703125,1.0
0.5880359147724628,0.33805629752470623,0.2639275789260864,0.03833174705505371,1.0
0.3655587528847546,0.542817348887956,0.38626521825790405,0.09153425693511963,1.0
0.35407555331646406,0.5532626133619196,0.340112050374349,0.12101948261260986,1.0
0.3426203289060294,0.5647152014153142,0.3437842925389608,0.1505899429321289,1.0
0.3599676383801637,0.5759971593370663,0.3160186608632406,0.12632429599761963,1.0
0.3599985631919868,0.5722931249291503,0.3062814474105835,0.14975249767303467,1.0
0.41902252043355853,0.5661107877505935,0.2702287832895915,0.15813708305358887,1.0
0.7999447088561398,0.10433647388536714,0.1485469937324524,0.0789940357208252,1.0
0.9106621518593071,0.0015778669220886227,0.10818024476369223,0.004315972328186035,1.0
0.8412257870630971,0.12572176697716217,0.1422443985939026,0.001291036605834961,1.0
0.8274688711714416,0.10640247407709334,0.17349332571029663,0.020055770874023438,1.0
0.8229377229405002,0.10976389921345427,0.1910329858462016,0.05468308925628662,1.0
0.8216842038580171,0.109768726898169,0.19776423772176108,0.0006341934204101562,1.0
0.8487533003608427,0.10890113032186098,0.18696914116541546,0.022866129875183105,1.0
0.836651034961464,0.09654260722462599,0.22332181533177695,0.05626678466796875,1.0
0.7886266152465196,0.0692721781430585,0.25144120057423913,0.024380087852478027,1.0
0.8251617574176594,0.08329996574050665,0.20667225122451782,0.044759511947631836,1.0
0.8228317402908427,0.07825756822259894,0.22250692049662274,0.052822232246398926,1.0
0.742801394955738,0.1432634219070879,0.24562587340672812,0.05741894245147705,1.0
0.4983303408859163,0.482027400286743,0.3411121169726054,0.04484593868255615,1.0
